dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
22/12/14 22:47;5.81 Mbit/s;4.37 Mbit/s;< 1 ms;5.11 ms;6.2 Mbit/s;4.69 Mbit/s;11.19 %;11.19 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 21:47;2.39 Mbit/s;1.86 Mbit/s;< 1 ms;3.05 ms;2.59 Mbit/s;1.73 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 20:46;10.72 Mbit/s;9.63 Mbit/s;1.02 ms;7.57 ms;9.91 Mbit/s;9.01 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 19:46;6.09 Mbit/s;10.45 Mbit/s;< 1 ms;1.08 ms;6.65 Mbit/s;11.24 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 18:46;4.36 Mbit/s;5.91 Mbit/s;< 1 ms;15.94 ms;4.64 Mbit/s;5.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 17:46;6.99 Mbit/s;6.68 Mbit/s;25.37 ms;18.55 ms;7.13 Mbit/s;7.15 Mbit/s;12.0 %;12.0 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 16:46;6.94 Mbit/s;3.62 Mbit/s;2.67 ms;8.51 ms;7.29 Mbit/s;3.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 15:47;2.83 Mbit/s;2.72 Mbit/s;1.17 ms;1.31 ms;-;-;2.08 %;2.08 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 14:46;8.1 Mbit/s;6.22 Mbit/s;7.11 ms;6.3 ms;8.13 Mbit/s;6.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 13:46;2.08 Mbit/s;2.15 Mbit/s;< 1 ms;4.13 ms;2.28 Mbit/s;2.31 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 12:46;-;1.49 Mbit/s;1.54 ms;5.03 ms;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 11:47;752.96 kbit/s;51.32 kbit/s;5.4 ms;46.54 ms;727.77 kbit/s;51.43 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 10:46;8.42 Mbit/s;2.22 Mbit/s;< 1 ms;16.45 ms;8.21 Mbit/s;2.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 09:46;9.04 Mbit/s;6.77 Mbit/s;10.59 ms;< 1 ms;8.51 Mbit/s;7.06 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 08:46;7.33 Mbit/s;4.92 Mbit/s;6.53 ms;1.28 ms;7.37 Mbit/s;5.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 07:46;6.1 Mbit/s;5.73 Mbit/s;4.82 ms;12.45 ms;6.71 Mbit/s;6.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 06:46;6.84 Mbit/s;5.17 Mbit/s;< 1 ms;7.34 ms;6.16 Mbit/s;5.38 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 05:46;7.28 Mbit/s;5.24 Mbit/s;3.77 ms;4.64 ms;7.78 Mbit/s;4.88 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 04:46;5.58 Mbit/s;5.9 Mbit/s;2.07 ms;5.26 ms;5.86 Mbit/s;5.96 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 03:46;6.68 Mbit/s;5.22 Mbit/s;< 1 ms;< 1 ms;6.28 Mbit/s;5.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 02:46;6.53 Mbit/s;4.68 Mbit/s;< 1 ms;1.25 ms;-;4.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 01:46;5.61 Mbit/s;3.39 Mbit/s;< 1 ms;1.41 ms;6.14 Mbit/s;3.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 00:46;5.55 Mbit/s;2.87 Mbit/s;1.35 ms;2.12 ms;6.11 Mbit/s;2.7 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
;;;;;;;;;;24/12/14 00:00;11.52 ms;null;false;
;;;;;;;;;;23/12/14 23:00;100.84 ms;null;false;
;;;;;;;;;;23/12/14 22:00;7.1 ms;null;false;
;;;;;;;;;;23/12/14 21:00;6.94 ms;null;false;
;;;;;;;;;;23/12/14 20:00;5.16 ms;null;false;
;;;;;;;;;;23/12/14 19:00;6.95 ms;null;false;
;;;;;;;;;;23/12/14 18:00;4.17 ms;null;false;
;;;;;;;;;;23/12/14 17:00;9.32 ms;null;false;
;;;;;;;;;;23/12/14 16:00;3.79 ms;null;false;
;;;;;;;;;;23/12/14 15:00;3.76 ms;null;false;
;;;;;;;;;;23/12/14 14:00;12.42 ms;null;false;
;;;;;;;;;;23/12/14 13:00;3.7 ms;null;false;
;;;;;;;;;;23/12/14 12:00;4.06 ms;null;false;
;;;;;;;;;;23/12/14 11:00;4.0 ms;null;false;
;;;;;;;;;;23/12/14 10:00;9.0 ms;null;false;
;;;;;;;;;;23/12/14 09:00;22.72 ms;null;false;
;;;;;;;;;;23/12/14 08:00;6.06 ms;null;false;
;;;;;;;;;;23/12/14 07:00;4.43 ms;null;false;
;;;;;;;;;;23/12/14 06:00;3.88 ms;null;false;
;;;;;;;;;;23/12/14 05:00;3.45 ms;null;false;
;;;;;;;;;;23/12/14 04:00;3.85 ms;null;false;
;;;;;;;;;;23/12/14 03:00;4.51 ms;null;false;
;;;;;;;;;;23/12/14 02:00;4.18 ms;null;false;
;;;;;;;;;;23/12/14 01:00;3.69 ms;null;false;
;;;;;;;;;;23/12/14 00:00;3.62 ms;null;false;
;;;;;;;;;;22/12/14 23:00;3.79 ms;null;false;
;;;;;;;;;;22/12/14 22:00;203.8 ms;null;false;
;;;;;;;;;;22/12/14 21:00;4.47 ms;null;false;
;;;;;;;;;;22/12/14 20:00;12.28 ms;null;false;
;;;;;;;;;;22/12/14 19:00;3.69 ms;null;false;
;;;;;;;;;;22/12/14 18:00;3.31 ms;null;false;
;;;;;;;;;;22/12/14 17:00;14.81 ms;null;false;
;;;;;;;;;;22/12/14 16:00;11.08 ms;null;false;
;;;;;;;;;;22/12/14 15:00;4.62 ms;null;false;
;;;;;;;;;;22/12/14 14:00;4.51 ms;null;false;
;;;;;;;;;;22/12/14 12:00;3.5 ms;null;false;
;;;;;;;;;;22/12/14 11:00;84.84 ms;null;false;
;;;;;;;;;;22/12/14 10:00;3.7 ms;null;false;
;;;;;;;;;;22/12/14 09:00;4.46 ms;null;false;
;;;;;;;;;;22/12/14 08:00;6.89 ms;null;false;
;;;;;;;;;;22/12/14 07:00;2.99 ms;null;false;
;;;;;;;;;;22/12/14 06:00;5.44 ms;null;false;
;;;;;;;;;;22/12/14 05:00;8.58 ms;null;false;
;;;;;;;;;;22/12/14 04:00;3.59 ms;null;false;
;;;;;;;;;;22/12/14 03:00;4.94 ms;null;false;
;;;;;;;;;;22/12/14 02:00;4.16 ms;null;false;
;;;;;;;;;;22/12/14 01:00;22.41 ms;null;false;
