dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
31/12/14 02:39;32.17 Mbit/s;28.37 Mbit/s;1.3 ms;< 1 ms;34.56 Mbit/s;29.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/12/14 01:39;34.16 Mbit/s;27.08 Mbit/s;< 1 ms;< 1 ms;37.55 Mbit/s;27.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/12/14 00:39;36.64 Mbit/s;26.91 Mbit/s;< 1 ms;< 1 ms;40.08 Mbit/s;27.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 23:39;26.61 Mbit/s;9.66 Mbit/s;15.98 ms;1.92 ms;29.23 Mbit/s;10.25 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 22:39;34.21 Mbit/s;21.12 Mbit/s;< 1 ms;< 1 ms;36.99 Mbit/s;21.91 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 21:39;30.68 Mbit/s;20.83 Mbit/s;< 1 ms;3.47 ms;32.59 Mbit/s;21.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/12/14 20:39;15.6 Mbit/s;9.91 Mbit/s;78.68 ms;< 1 ms;11.64 Mbit/s;4.54 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 19:39;12.95 Mbit/s;12.38 Mbit/s;1.53 ms;< 1 ms;12.25 Mbit/s;4.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 18:39;14.69 Mbit/s;21.14 Mbit/s;< 1 ms;< 1 ms;16.0 Mbit/s;21.94 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/12/14 17:39;19.33 Mbit/s;11.83 Mbit/s;< 1 ms;< 1 ms;20.98 Mbit/s;12.44 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/12/14 16:39;29.3 Mbit/s;27.69 Mbit/s;1.1 ms;< 1 ms;6.9 Mbit/s;20.0 Mbit/s;2.82 %;2.82 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 15:39;22.01 Mbit/s;19.05 Mbit/s;< 1 ms;< 1 ms;23.79 Mbit/s;19.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/12/14 14:39;29.97 Mbit/s;2.87 Mbit/s;< 1 ms;< 1 ms;32.73 Mbit/s;3.05 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/12/14 13:39;29.71 Mbit/s;21.94 Mbit/s;< 1 ms;1.2 ms;31.68 Mbit/s;22.16 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 12:39;23.06 Mbit/s;16.98 Mbit/s;< 1 ms;< 1 ms;24.88 Mbit/s;17.86 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 11:39;21.41 Mbit/s;20.66 Mbit/s;< 1 ms;< 1 ms;22.95 Mbit/s;20.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/12/14 10:39;29.26 Mbit/s;22.08 Mbit/s;< 1 ms;< 1 ms;31.69 Mbit/s;23.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 09:39;32.64 Mbit/s;25.53 Mbit/s;< 1 ms;< 1 ms;35.62 Mbit/s;25.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/12/14 08:39;25.14 Mbit/s;26.97 Mbit/s;< 1 ms;< 1 ms;19.99 Mbit/s;17.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/12/14 07:39;24.45 Mbit/s;23.76 Mbit/s;< 1 ms;< 1 ms;26.47 Mbit/s;25.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/12/14 06:39;25.27 Mbit/s;24.74 Mbit/s;< 1 ms;< 1 ms;27.82 Mbit/s;25.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/12/14 05:39;26.39 Mbit/s;24.35 Mbit/s;1.39 ms;< 1 ms;28.72 Mbit/s;25.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/12/14 04:39;17.5 Mbit/s;24.05 Mbit/s;< 1 ms;< 1 ms;19.28 Mbit/s;25.47 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/12/14 03:39;26.15 Mbit/s;29.26 Mbit/s;< 1 ms;< 1 ms;28.41 Mbit/s;26.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/12/14 02:39;28.56 Mbit/s;26.35 Mbit/s;< 1 ms;5.48 ms;31.39 Mbit/s;27.42 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/12/14 01:39;25.77 Mbit/s;22.96 Mbit/s;7.5 ms;< 1 ms;28.37 Mbit/s;23.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/12/14 00:39;28.45 Mbit/s;27.52 Mbit/s;1.8 ms;< 1 ms;31.14 Mbit/s;28.52 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;31/12/14 23:53;4.75 ms;null;false;
;;;;;;;;;;31/12/14 22:53;1.42 ms;null;false;
;;;;;;;;;;31/12/14 21:53;9.38 ms;null;false;
;;;;;;;;;;31/12/14 20:53;2.23 ms;null;false;
;;;;;;;;;;31/12/14 19:53;1.19 ms;null;false;
;;;;;;;;;;31/12/14 18:53;1.78 ms;null;false;
;;;;;;;;;;31/12/14 17:53;1.12 ms;null;false;
;;;;;;;;;;31/12/14 16:53;3.78 ms;null;false;
;;;;;;;;;;31/12/14 15:53;3.83 ms;null;false;
;;;;;;;;;;31/12/14 14:53;2.87 ms;null;false;
;;;;;;;;;;31/12/14 13:53;1.34 ms;null;false;
;;;;;;;;;;31/12/14 12:53;1.55 ms;null;false;
;;;;;;;;;;31/12/14 11:53;1.26 ms;null;false;
;;;;;;;;;;31/12/14 10:53;1.5 ms;null;false;
;;;;;;;;;;31/12/14 09:53;3.53 ms;null;false;
;;;;;;;;;;31/12/14 08:53;1.55 ms;null;false;
;;;;;;;;;;31/12/14 07:53;1.35 ms;null;false;
;;;;;;;;;;31/12/14 06:53;1.36 ms;null;false;
;;;;;;;;;;31/12/14 05:53;1.35 ms;null;false;
;;;;;;;;;;31/12/14 04:53;1.36 ms;null;false;
;;;;;;;;;;31/12/14 03:53;2.63 ms;null;false;
;;;;;;;;;;31/12/14 02:53;1.25 ms;null;false;
;;;;;;;;;;31/12/14 01:53;3.65 ms;null;false;
;;;;;;;;;;31/12/14 00:53;2.75 ms;null;false;
;;;;;;;;;;30/12/14 23:53;1.24 ms;null;false;
;;;;;;;;;;30/12/14 22:53;1.31 ms;null;false;
;;;;;;;;;;30/12/14 21:53;1.35 ms;null;false;
;;;;;;;;;;30/12/14 20:53;1.83 ms;null;false;
;;;;;;;;;;30/12/14 19:53;1.49 ms;null;false;
;;;;;;;;;;30/12/14 18:53;1.27 ms;null;false;
;;;;;;;;;;30/12/14 17:53;1.31 ms;null;false;
;;;;;;;;;;30/12/14 16:53;22.42 ms;null;false;
;;;;;;;;;;30/12/14 15:53;1.06 ms;null;false;
;;;;;;;;;;30/12/14 14:53;2.13 ms;null;false;
;;;;;;;;;;30/12/14 13:53;1.49 ms;null;false;
;;;;;;;;;;30/12/14 12:53;1.14 ms;null;false;
;;;;;;;;;;30/12/14 11:53;1.25 ms;null;false;
;;;;;;;;;;30/12/14 10:53;1.48 ms;null;false;
;;;;;;;;;;30/12/14 09:53;2.08 ms;null;false;
;;;;;;;;;;30/12/14 08:53;4.02 ms;null;false;
;;;;;;;;;;30/12/14 07:53;5.11 ms;null;false;
;;;;;;;;;;30/12/14 06:53;1.97 ms;null;false;
;;;;;;;;;;30/12/14 06:53;1.97 ms;null;false;
;;;;;;;;;;30/12/14 05:53;2.08 ms;null;false;
;;;;;;;;;;30/12/14 04:53;1.34 ms;null;false;
;;;;;;;;;;30/12/14 03:53;1.49 ms;null;false;
;;;;;;;;;;30/12/14 02:53;1.55 ms;null;false;
;;;;;;;;;;30/12/14 01:53;1.27 ms;null;false;
;;;;;;;;;;30/12/14 00:53;1.45 ms;null;false;
