dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 13:10;19.01 Mbit/s;12.75 Mbit/s;7.06 ms;2.2 ms;19.84 Mbit/s;13.76 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 12:10;13.74 Mbit/s;213.89 kbit/s;9.0 ms;21.23 ms;14.39 Mbit/s;229.46 kbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 11:10;15.84 Mbit/s;16.49 Mbit/s;2.08 ms;2.32 ms;17.32 Mbit/s;11.74 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 10:10;19.43 Mbit/s;15.16 Mbit/s;6.73 ms;13.47 ms;17.34 Mbit/s;15.79 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 09:10;17.27 Mbit/s;15.45 Mbit/s;3.37 ms;< 1 ms;18.48 Mbit/s;13.44 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 08:10;19.99 Mbit/s;12.47 Mbit/s;< 1 ms;< 1 ms;10.69 Mbit/s;8.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 07:10;18.97 Mbit/s;16.46 Mbit/s;< 1 ms;< 1 ms;16.59 Mbit/s;12.62 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 06:10;20.6 Mbit/s;17.15 Mbit/s;< 1 ms;< 1 ms;21.31 Mbit/s;17.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:10;20.85 Mbit/s;17.54 Mbit/s;< 1 ms;< 1 ms;22.2 Mbit/s;17.56 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 04:10;19.85 Mbit/s;17.15 Mbit/s;< 1 ms;< 1 ms;20.56 Mbit/s;17.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 03:10;19.94 Mbit/s;17.37 Mbit/s;< 1 ms;< 1 ms;21.07 Mbit/s;17.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:10;20.28 Mbit/s;16.91 Mbit/s;2.15 ms;2.52 ms;21.65 Mbit/s;17.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:10;20.12 Mbit/s;16.25 Mbit/s;< 1 ms;< 1 ms;20.83 Mbit/s;15.5 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 00:10;20.49 Mbit/s;16.2 Mbit/s;< 1 ms;10.6 ms;21.49 Mbit/s;16.4 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 23:10;15.08 Mbit/s;11.95 Mbit/s;7.53 ms;9.93 ms;15.66 Mbit/s;4.0 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 22:10;19.76 Mbit/s;15.54 Mbit/s;< 1 ms;1.76 ms;14.79 Mbit/s;15.48 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 21:10;13.88 Mbit/s;12.93 Mbit/s;< 1 ms;< 1 ms;12.15 Mbit/s;9.29 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 20:10;18.14 Mbit/s;16.11 Mbit/s;< 1 ms;1.56 ms;18.25 Mbit/s;13.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 19:10;2.89 Mbit/s;12.3 Mbit/s;< 1 ms;28.35 ms;3.4 Mbit/s;6.18 Mbit/s;0.68 %;0.68 %;PTT Metro de Curitiba;;;;;
22/12/14 18:10;16.5 Mbit/s;14.47 Mbit/s;3.05 ms;3.03 ms;14.9 Mbit/s;8.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 17:10;15.87 Mbit/s;14.83 Mbit/s;< 1 ms;< 1 ms;17.4 Mbit/s;11.83 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 16:10;16.61 Mbit/s;14.51 Mbit/s;< 1 ms;3.48 ms;17.4 Mbit/s;13.12 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 15:10;19.11 Mbit/s;16.17 Mbit/s;1.28 ms;2.23 ms;13.78 Mbit/s;15.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 14:10;5.38 Mbit/s;11.05 Mbit/s;< 1 ms;< 1 ms;5.89 Mbit/s;11.74 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 13:10;17.56 Mbit/s;11.58 Mbit/s;134.03 ms;28.54 ms;18.94 Mbit/s;6.61 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 12:10;18.93 Mbit/s;16.89 Mbit/s;10.17 ms;6.98 ms;20.38 Mbit/s;17.34 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 11:10;17.87 Mbit/s;14.78 Mbit/s;< 1 ms;1.95 ms;15.15 Mbit/s;10.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 10:10;10.28 Mbit/s;16.26 Mbit/s;< 1 ms;< 1 ms;9.06 Mbit/s;1.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 09:10;18.25 Mbit/s;15.43 Mbit/s;< 1 ms;1.35 ms;19.01 Mbit/s;14.95 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 08:10;18.32 Mbit/s;16.58 Mbit/s;< 1 ms;< 1 ms;19.56 Mbit/s;13.58 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 07:10;19.41 Mbit/s;17.43 Mbit/s;< 1 ms;< 1 ms;19.89 Mbit/s;17.46 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 06:10;20.43 Mbit/s;17.42 Mbit/s;< 1 ms;< 1 ms;20.7 Mbit/s;15.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 05:10;20.59 Mbit/s;17.49 Mbit/s;< 1 ms;< 1 ms;22.1 Mbit/s;17.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 04:10;20.28 Mbit/s;17.63 Mbit/s;< 1 ms;< 1 ms;21.79 Mbit/s;16.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 03:10;19.78 Mbit/s;16.83 Mbit/s;< 1 ms;< 1 ms;21.18 Mbit/s;17.13 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 02:10;18.57 Mbit/s;12.2 Mbit/s;1.67 ms;1.04 ms;20.37 Mbit/s;12.9 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 01:10;20.15 Mbit/s;17.49 Mbit/s;< 1 ms;1.33 ms;21.78 Mbit/s;17.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 00:10;19.91 Mbit/s;17.33 Mbit/s;1.3 ms;2.82 ms;20.9 Mbit/s;16.55 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
;;;;;;;;;;23/12/14 23:24;1.02 ms;null;false;
;;;;;;;;;;23/12/14 22:24;1.37 ms;null;false;
;;;;;;;;;;23/12/14 21:24;8.79 ms;null;false;
;;;;;;;;;;23/12/14 20:24;1.46 ms;null;false;
;;;;;;;;;;23/12/14 19:24;226.68 ms;null;false;
;;;;;;;;;;23/12/14 18:24;1.04 ms;null;false;
;;;;;;;;;;23/12/14 17:24;1.03 ms;null;false;
;;;;;;;;;;23/12/14 16:24;40.47 ms;null;false;
;;;;;;;;;;23/12/14 15:24;1.14 ms;null;false;
;;;;;;;;;;23/12/14 14:24;25.08 ms;null;false;
;;;;;;;;;;23/12/14 13:24;5.12 ms;null;false;
;;;;;;;;;;23/12/14 12:24;1.06 ms;null;false;
;;;;;;;;;;23/12/14 11:24;1.61 ms;null;false;
;;;;;;;;;;23/12/14 10:24;3.94 ms;null;false;
;;;;;;;;;;23/12/14 09:24;216.72 ms;null;false;
;;;;;;;;;;23/12/14 08:24;1.03 ms;null;false;
;;;;;;;;;;23/12/14 07:24;1.03 ms;null;false;
;;;;;;;;;;23/12/14 06:24;129.69 ms;null;false;
;;;;;;;;;;23/12/14 05:24;170.44 ms;null;false;
;;;;;;;;;;23/12/14 04:24;1.05 ms;null;false;
;;;;;;;;;;23/12/14 03:24;1.59 ms;null;false;
;;;;;;;;;;23/12/14 02:24;1.07 ms;null;false;
;;;;;;;;;;23/12/14 01:24;9.34 ms;null;false;
;;;;;;;;;;23/12/14 00:24;1.02 ms;null;false;
;;;;;;;;;;22/12/14 23:24;1.05 ms;null;false;
;;;;;;;;;;22/12/14 22:24;1.03 ms;null;false;
;;;;;;;;;;22/12/14 21:24;15.73 ms;null;false;
;;;;;;;;;;22/12/14 20:24;3.37 ms;null;false;
;;;;;;;;;;22/12/14 19:24;52.14 ms;null;false;
;;;;;;;;;;22/12/14 18:24;163.77 ms;null;false;
;;;;;;;;;;22/12/14 17:24;26.57 ms;null;false;
;;;;;;;;;;22/12/14 16:24;266.12 ms;null;false;
;;;;;;;;;;22/12/14 15:24;1.51 ms;null;false;
;;;;;;;;;;22/12/14 14:24;4.83 ms;null;false;
;;;;;;;;;;22/12/14 13:24;215.69 ms;null;false;
;;;;;;;;;;22/12/14 12:24;62.46 ms;null;false;
;;;;;;;;;;22/12/14 11:24;21.89 ms;null;false;
;;;;;;;;;;22/12/14 10:24;1.12 ms;null;false;
;;;;;;;;;;22/12/14 09:24;1.59 ms;null;false;
;;;;;;;;;;22/12/14 08:24;1.54 ms;null;false;
;;;;;;;;;;22/12/14 07:24;2.3 ms;null;false;
;;;;;;;;;;22/12/14 06:24;1.08 ms;null;false;
;;;;;;;;;;22/12/14 05:24;1.03 ms;null;false;
;;;;;;;;;;22/12/14 04:24;1.36 ms;null;false;
;;;;;;;;;;22/12/14 03:24;1.73 ms;null;false;
;;;;;;;;;;22/12/14 02:24;1.03 ms;null;false;
;;;;;;;;;;22/12/14 01:24;1.03 ms;null;false;
;;;;;;;;;;22/12/14 00:24;1.74 ms;null;false;
