dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 06:35;14.86 Mbit/s;22.03 Mbit/s;< 1 ms;< 1 ms;17.27 Mbit/s;21.75 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 05:35;19.22 Mbit/s;28.55 Mbit/s;< 1 ms;2.84 ms;20.83 Mbit/s;30.28 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 04:35;14.83 Mbit/s;26.97 Mbit/s;< 1 ms;< 1 ms;16.65 Mbit/s;28.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 03:35;15.0 Mbit/s;26.02 Mbit/s;< 1 ms;1.18 ms;16.63 Mbit/s;26.66 Mbit/s;4.32 %;4.32 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 02:35;13.43 Mbit/s;24.62 Mbit/s;< 1 ms;20.58 ms;15.67 Mbit/s;25.99 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 01:35;9.94 Mbit/s;21.09 Mbit/s;16.94 ms;26.02 ms;11.74 Mbit/s;19.79 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
23/12/14 00:35;18.7 Mbit/s;27.49 Mbit/s;< 1 ms;10.23 ms;21.83 Mbit/s;21.19 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 23:35;8.94 Mbit/s;22.87 Mbit/s;69.46 ms;14.89 ms;9.97 Mbit/s;16.84 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 22:36;14.0 Mbit/s;21.77 Mbit/s;11.4 ms;7.29 ms;-;23.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Belo Horizonte;;;;;
22/12/14 21:35;-;1.02 Mbit/s;83.58 ms;21.87 ms;-;-;8.25 %;8.25 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 20:35;6.15 Mbit/s;282.87 kbit/s;58.9 ms;26.79 ms;6.79 Mbit/s;297.87 kbit/s;0.81 %;0.81 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
22/12/14 19:35;17.22 Mbit/s;14.18 Mbit/s;11.77 ms;6.02 ms;14.79 Mbit/s;15.45 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 18:36;11.93 Mbit/s;17.85 Mbit/s;3.68 ms;4.44 ms;12.31 Mbit/s;19.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 17:35;12.67 Mbit/s;17.98 Mbit/s;1.28 ms;1.35 ms;15.04 Mbit/s;18.59 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 16:36;9.71 Mbit/s;8.71 Mbit/s;6.84 ms;5.82 ms;9.03 Mbit/s;6.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 15:35;10.61 Mbit/s;20.03 Mbit/s;< 1 ms;7.47 ms;13.22 Mbit/s;15.2 Mbit/s;0.0 %;0.0 %;PTT Metro de Belo Horizonte;;;;;
22/12/14 14:36;11.4 Mbit/s;12.61 Mbit/s;9.71 ms;3.81 ms;11.33 Mbit/s;13.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 13:35;-;-;-;-;-;-;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 12:35;8.58 Mbit/s;13.4 Mbit/s;3.56 ms;8.36 ms;10.29 Mbit/s;2.37 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 11:35;8.62 Mbit/s;7.32 Mbit/s;1.35 ms;10.47 ms;9.9 Mbit/s;7.1 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 10:35;4.07 Mbit/s;17.34 Mbit/s;11.3 ms;8.93 ms;3.46 Mbit/s;9.71 Mbit/s;0.74 %;0.74 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 09:35;12.23 Mbit/s;19.29 Mbit/s;9.72 ms;< 1 ms;14.46 Mbit/s;20.41 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 08:35;21.27 Mbit/s;24.33 Mbit/s;< 1 ms;1.28 ms;19.46 Mbit/s;26.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 07:35;10.43 Mbit/s;26.3 Mbit/s;< 1 ms;< 1 ms;11.8 Mbit/s;25.07 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 06:35;13.15 Mbit/s;22.89 Mbit/s;< 1 ms;1.5 ms;14.48 Mbit/s;24.72 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 05:35;14.09 Mbit/s;22.3 Mbit/s;< 1 ms;< 1 ms;15.82 Mbit/s;23.6 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 04:35;12.63 Mbit/s;27.07 Mbit/s;< 1 ms;4.69 ms;14.41 Mbit/s;29.23 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 03:35;9.47 Mbit/s;25.51 Mbit/s;< 1 ms;< 1 ms;10.57 Mbit/s;27.16 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 02:35;14.81 Mbit/s;25.49 Mbit/s;2.13 ms;< 1 ms;15.49 Mbit/s;26.88 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 01:35;9.49 Mbit/s;23.16 Mbit/s;< 1 ms;2.1 ms;9.87 Mbit/s;24.92 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 00:35;9.71 Mbit/s;19.51 Mbit/s;3.07 ms;< 1 ms;11.25 Mbit/s;20.7 Mbit/s;0.0 %;0.0 %;PTT Metro de Campinas;;;;;
;;;;;;;;;;23/12/14 23:49;3.01 ms;null;false;
;;;;;;;;;;23/12/14 22:49;2.87 ms;null;false;
;;;;;;;;;;23/12/14 21:49;12.45 ms;null;false;
;;;;;;;;;;23/12/14 20:49;3.47 ms;null;false;
;;;;;;;;;;23/12/14 19:49;4.8 ms;null;false;
;;;;;;;;;;23/12/14 18:49;12.39 ms;null;false;
;;;;;;;;;;23/12/14 17:49;4.79 ms;null;false;
;;;;;;;;;;23/12/14 16:49;135.07 ms;null;false;
;;;;;;;;;;23/12/14 15:49;3.52 ms;null;false;
;;;;;;;;;;23/12/14 14:49;4.94 ms;null;false;
;;;;;;;;;;23/12/14 13:49;3.62 ms;null;false;
;;;;;;;;;;23/12/14 12:49;9.23 ms;null;false;
;;;;;;;;;;23/12/14 11:49;46.93 ms;null;false;
;;;;;;;;;;23/12/14 10:49;4.35 ms;null;false;
;;;;;;;;;;23/12/14 08:49;3.28 ms;null;false;
;;;;;;;;;;23/12/14 07:49;4.27 ms;null;false;
;;;;;;;;;;23/12/14 06:49;4.27 ms;null;false;
;;;;;;;;;;23/12/14 05:49;3.25 ms;null;false;
;;;;;;;;;;23/12/14 04:49;3.58 ms;null;false;
;;;;;;;;;;23/12/14 03:49;4.9 ms;null;false;
;;;;;;;;;;23/12/14 02:49;3.65 ms;null;false;
;;;;;;;;;;23/12/14 01:49;284.71 ms;null;false;
;;;;;;;;;;23/12/14 00:49;7.3 ms;null;false;
;;;;;;;;;;22/12/14 23:49;20.9 ms;null;false;
;;;;;;;;;;22/12/14 22:49;3.41 ms;null;false;
;;;;;;;;;;22/12/14 21:49;3.31 ms;null;false;
;;;;;;;;;;22/12/14 20:49;263.52 ms;null;false;
;;;;;;;;;;22/12/14 19:49;12.47 ms;null;false;
;;;;;;;;;;22/12/14 17:49;4.29 ms;null;false;
;;;;;;;;;;22/12/14 16:49;4.61 ms;null;false;
;;;;;;;;;;22/12/14 15:49;45.05 ms;null;false;
;;;;;;;;;;22/12/14 14:49;15.57 ms;null;false;
;;;;;;;;;;22/12/14 13:49;11.92 ms;null;false;
;;;;;;;;;;22/12/14 12:49;2.93 ms;null;false;
;;;;;;;;;;22/12/14 11:49;6690.29 ms;null;false;
;;;;;;;;;;22/12/14 10:49;3.24 ms;null;false;
;;;;;;;;;;22/12/14 09:49;175.23 ms;null;false;
;;;;;;;;;;22/12/14 08:49;3.6 ms;null;false;
;;;;;;;;;;22/12/14 07:49;12.68 ms;null;false;
;;;;;;;;;;22/12/14 06:49;3.87 ms;null;false;
;;;;;;;;;;22/12/14 05:49;3.25 ms;null;false;
;;;;;;;;;;22/12/14 04:49;3.13 ms;null;false;
;;;;;;;;;;22/12/14 03:49;3.95 ms;null;false;
;;;;;;;;;;22/12/14 02:49;3.49 ms;null;false;
;;;;;;;;;;22/12/14 01:49;4.12 ms;null;false;
;;;;;;;;;;22/12/14 00:49;3.73 ms;null;false;
