dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
23/12/14 11:40;5.24 Mbit/s;12.1 Mbit/s;14.6 ms;1.58 ms;3.19 Mbit/s;12.95 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 10:41;16.42 Mbit/s;20.25 Mbit/s;32.98 ms;3.06 ms;18.0 Mbit/s;20.98 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
23/12/14 09:40;11.56 Mbit/s;34.03 Mbit/s;22.23 ms;< 1 ms;12.36 Mbit/s;35.14 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 08:40;4.88 Mbit/s;19.24 Mbit/s;10.61 ms;10.52 ms;2.63 Mbit/s;17.98 Mbit/s;2.07 %;2.07 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 07:40;21.37 Mbit/s;31.47 Mbit/s;2.8 ms;2.61 ms;23.58 Mbit/s;33.02 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
23/12/14 06:40;28.39 Mbit/s;39.7 Mbit/s;3.78 ms;1.0 ms;30.9 Mbit/s;41.31 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 05:40;12.9 Mbit/s;29.04 Mbit/s;7.54 ms;6.74 ms;12.72 Mbit/s;26.95 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
23/12/14 04:40;35.02 Mbit/s;37.92 Mbit/s;< 1 ms;1.34 ms;32.6 Mbit/s;40.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 03:40;33.86 Mbit/s;40.04 Mbit/s;3.12 ms;< 1 ms;37.21 Mbit/s;42.78 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
23/12/14 02:40;21.27 Mbit/s;22.73 Mbit/s;2.97 ms;1.33 ms;23.37 Mbit/s;24.33 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2;;;;;
23/12/14 01:40;35.53 Mbit/s;36.35 Mbit/s;3.93 ms;< 1 ms;38.43 Mbit/s;38.07 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
23/12/14 00:40;20.39 Mbit/s;33.44 Mbit/s;4.6 ms;2.19 ms;21.31 Mbit/s;33.98 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 23:40;18.3 Mbit/s;35.79 Mbit/s;2.69 ms;< 1 ms;17.23 Mbit/s;36.15 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 22:40;1.02 Mbit/s;12.02 Mbit/s;8.43 ms;2.49 ms;261.82 kbit/s;11.49 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 21:40;4.62 Mbit/s;9.73 Mbit/s;5.62 ms;< 1 ms;5.08 Mbit/s;10.22 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 20:40;6.78 Mbit/s;8.73 Mbit/s;20.47 ms;2.15 ms;5.36 Mbit/s;9.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 19:40;4.83 Mbit/s;6.24 Mbit/s;33.05 ms;24.26 ms;5.1 Mbit/s;6.55 Mbit/s;16.41 %;16.41 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 18:40;4.63 Mbit/s;6.54 Mbit/s;36.96 ms;3.07 ms;3.0 Mbit/s;6.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 17:40;9.11 Mbit/s;10.94 Mbit/s;25.09 ms;1.78 ms;9.81 Mbit/s;11.35 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 16:40;3.73 Mbit/s;4.36 Mbit/s;12.86 ms;15.0 ms;4.04 Mbit/s;4.66 Mbit/s;0.68 %;0.68 %;PTT Metro do Rio de Janeiro - Nodo 1;;;;;
22/12/14 15:40;14.06 Mbit/s;13.0 Mbit/s;16.9 ms;1.69 ms;4.96 Mbit/s;13.64 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 14:40;5.42 Mbit/s;12.28 Mbit/s;4.91 ms;< 1 ms;5.89 Mbit/s;13.17 Mbit/s;1.37 %;1.37 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
22/12/14 13:40;7.91 Mbit/s;17.85 Mbit/s;11.32 ms;4.08 ms;8.57 Mbit/s;19.05 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 12:40;2.72 Mbit/s;2.88 Mbit/s;54.86 ms;4.5 ms;1.45 Mbit/s;3.08 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
22/12/14 11:40;14.28 Mbit/s;31.34 Mbit/s;2.6 ms;< 1 ms;3.35 Mbit/s;32.96 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 10:40;10.89 Mbit/s;31.37 Mbit/s;26.94 ms;< 1 ms;11.81 Mbit/s;32.04 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 09:40;17.54 Mbit/s;39.71 Mbit/s;3.51 ms;5.15 ms;19.01 Mbit/s;41.65 Mbit/s;1.36 %;1.36 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
22/12/14 08:40;19.11 Mbit/s;42.98 Mbit/s;< 1 ms;< 1 ms;20.96 Mbit/s;43.58 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 07:40;29.78 Mbit/s;40.52 Mbit/s;< 1 ms;3.77 ms;32.57 Mbit/s;41.51 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 06:40;35.91 Mbit/s;41.26 Mbit/s;1.15 ms;< 1 ms;38.12 Mbit/s;43.71 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
22/12/14 05:40;28.04 Mbit/s;41.13 Mbit/s;< 1 ms;< 1 ms;30.21 Mbit/s;42.9 Mbit/s;0.68 %;0.68 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 04:40;34.25 Mbit/s;41.66 Mbit/s;1.59 ms;5.9 ms;29.44 Mbit/s;43.32 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
22/12/14 03:40;33.58 Mbit/s;45.57 Mbit/s;< 1 ms;1.18 ms;36.08 Mbit/s;46.65 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 02:40;32.29 Mbit/s;39.68 Mbit/s;< 1 ms;3.98 ms;33.74 Mbit/s;39.3 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
22/12/14 01:40;33.75 Mbit/s;21.26 Mbit/s;3.82 ms;1.87 ms;13.91 Mbit/s;22.85 Mbit/s;0.0 %;0.0 %;PTT Metro de Curitiba;;;;;
22/12/14 00:40;1.64 Mbit/s;1.79 Mbit/s;2.54 ms;1.58 ms;1.74 Mbit/s;1.27 Mbit/s;0.0 %;0.0 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
;;;;;;;;;;23/12/14 23:54;2.08 ms;null;false;
;;;;;;;;;;23/12/14 22:54;7.26 ms;null;false;
;;;;;;;;;;23/12/14 21:54;1.62 ms;null;false;
;;;;;;;;;;23/12/14 20:54;3.12 ms;null;false;
;;;;;;;;;;23/12/14 19:54;54.16 ms;null;false;
;;;;;;;;;;23/12/14 18:54;378.82 ms;null;false;
;;;;;;;;;;23/12/14 17:54;121.14 ms;null;false;
;;;;;;;;;;23/12/14 17:54;121.14 ms;null;false;
;;;;;;;;;;23/12/14 16:54;35.34 ms;null;false;
;;;;;;;;;;23/12/14 15:54;10.26 ms;null;false;
;;;;;;;;;;23/12/14 14:54;18.73 ms;null;false;
;;;;;;;;;;23/12/14 13:54;65.72 ms;null;false;
;;;;;;;;;;23/12/14 12:54;65.51 ms;null;false;
;;;;;;;;;;23/12/14 12:54;65.51 ms;null;false;
;;;;;;;;;;23/12/14 11:54;22.57 ms;null;false;
;;;;;;;;;;23/12/14 10:54;3.21 ms;null;false;
;;;;;;;;;;23/12/14 09:54;2.3 ms;null;false;
;;;;;;;;;;23/12/14 08:54;109.52 ms;null;false;
;;;;;;;;;;23/12/14 07:54;2.18 ms;null;false;
;;;;;;;;;;23/12/14 06:54;1.07 ms;null;false;
;;;;;;;;;;23/12/14 05:54;1.56 ms;null;false;
;;;;;;;;;;23/12/14 04:54;2.02 ms;null;false;
;;;;;;;;;;23/12/14 03:54;2.06 ms;null;false;
;;;;;;;;;;23/12/14 02:54;7.63 ms;null;false;
;;;;;;;;;;23/12/14 01:54;3.87 ms;null;false;
;;;;;;;;;;23/12/14 00:54;5.82 ms;null;false;
;;;;;;;;;;22/12/14 23:54;131.94 ms;null;false;
;;;;;;;;;;22/12/14 22:54;361.03 ms;null;false;
;;;;;;;;;;22/12/14 21:54;135.25 ms;null;false;
;;;;;;;;;;22/12/14 20:54;556.26 ms;null;false;
;;;;;;;;;;22/12/14 19:54;315.36 ms;null;false;
;;;;;;;;;;22/12/14 18:54;149.82 ms;null;false;
;;;;;;;;;;22/12/14 17:54;76.59 ms;null;false;
;;;;;;;;;;22/12/14 16:54;34.8 ms;null;false;
;;;;;;;;;;22/12/14 15:54;22.38 ms;null;false;
;;;;;;;;;;22/12/14 14:54;36.03 ms;null;false;
;;;;;;;;;;22/12/14 13:54;104.87 ms;null;false;
;;;;;;;;;;22/12/14 12:54;2.86 ms;null;false;
;;;;;;;;;;22/12/14 11:54;9.64 ms;null;false;
;;;;;;;;;;22/12/14 10:54;436.31 ms;null;false;
;;;;;;;;;;22/12/14 09:54;5.55 ms;null;false;
;;;;;;;;;;22/12/14 08:54;2.99 ms;null;false;
;;;;;;;;;;22/12/14 07:54;1.98 ms;null;false;
;;;;;;;;;;22/12/14 06:54;1.66 ms;null;false;
;;;;;;;;;;22/12/14 05:54;4.44 ms;null;false;
;;;;;;;;;;22/12/14 04:54;1.33 ms;null;false;
;;;;;;;;;;22/12/14 03:54;1.92 ms;null;false;
;;;;;;;;;;22/12/14 02:54;3.22 ms;null;false;
;;;;;;;;;;22/12/14 01:54;2.87 ms;null;false;
;;;;;;;;;;22/12/14 00:54;1.23 ms;null;false;
